Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/03/2025,11/04/2025,CODETWO,Shopping,Sale,-14.69,
11/01/2025,11/02/2025,DIGITALOCEAN.COM,Shopping,Sale,-41.87,
11/01/2025,11/02/2025,SUPABASE,Shopping,Sale,-35.00,
11/01/2025,11/02/2025,GOOGLE *CLOUD SPCLSv,Bills & Utilities,Sale,-99.46,
10/30/2025,10/31/2025,PUBLIX #1095,Groceries,Sale,-55.25,
10/27/2025,10/28/2025,PUBLIX #1095,Groceries,Sale,-9.17,
10/25/2025,10/27/2025,AMK UNIV S CAROLINA,Food & Drink,Sale,-15.36,
10/27/2025,10/27/2025,LYFT   *1 RIDE 10-25,Travel,Sale,-9.05,
10/26/2025,10/27/2025,TST*COCKY ROOSTER-FRANCH,Food & Drink,Sale,-20.87,
10/24/2025,10/26/2025,PUBLIX #1095,Groceries,Sale,-43.04,
10/24/2025,10/26/2025,LS GREENS BEVERAGES,Shopping,Sale,-22.78,
10/24/2025,10/24/2025,Microsoft-G119761189,Shopping,Return,307.64,
10/23/2025,10/24/2025,BOLLYWOOD BITES,Food & Drink,Sale,-12.42,
10/22/2025,10/23/2025,LS GREENS BEVERAGES,Shopping,Sale,-6.10,
10/22/2025,10/23/2025,PUBLIX #1095,Groceries,Sale,-13.83,
10/21/2025,10/22/2025,MIDAS 5254 AUTO &amp; TIRE,Automotive,Sale,-128.08,
10/19/2025,10/20/2025,Microsoft-G119761189,Shopping,Sale,-311.04,
10/17/2025,10/19/2025,PlayStation Network,Shopping,Sale,-10.79,
10/17/2025,10/19/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-4.53,
10/17/2025,10/19/2025,SHELL OIL 53918000422,Gas,Sale,-4.32,
10/14/2025,10/15/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-33.03,
10/13/2025,10/14/2025,GITHUB  INC.,Professional Services,Sale,-21.08,
10/11/2025,10/13/2025,PUBLIX #1095,Groceries,Sale,-58.01,
10/11/2025,10/12/2025,DD *DOORDASH MCDONALDS,Food & Drink,Sale,-17.03,
10/11/2025,10/12/2025,FFG* FALL FOR GREENVIL,Personal,Sale,-5.00,
10/11/2025,10/12/2025,FFG* FALL FOR GREENVIL,Personal,Sale,-1.00,
10/11/2025,10/12/2025,SQ *301 RIVER LOT,Travel,Sale,-31.75,
10/11/2025,10/12/2025,FFG* FALL FOR GREENVIL,Personal,Sale,-15.00,
10/10/2025,10/12/2025,SHELL OIL 53918000422,Gas,Sale,-30.28,
10/08/2025,10/10/2025,GRUBHUB - UNIVERSITY OF S,Food & Drink,Sale,-9.08,
10/08/2025,10/10/2025,GRUBHUB - UNIVERSITY OF S,Food & Drink,Sale,-14.42,
10/07/2025,10/07/2025,Payment Thank You-Mobile,,Payment,908.57,
10/04/2025,10/06/2025,NORTHWOODS GOLF CLUB,Entertainment,Sale,-4.50,
10/04/2025,10/06/2025,NORTHWOODS GOLF CLUB,Entertainment,Sale,-106.52,
10/03/2025,10/05/2025,LS GREENS BEVERAGES,Shopping,Sale,-8.89,
10/01/2025,10/02/2025,GOOGLE *CLOUD DZQQ99,Shopping,Sale,-41.47,
10/01/2025,10/01/2025,SUPABASE,Shopping,Sale,-34.34,
10/01/2025,10/01/2025,DIGITALOCEAN.COM,Shopping,Sale,-40.00,
09/30/2025,09/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
09/29/2025,09/30/2025,AMIA.ORG,Gifts & Donations,Sale,-600.00,
09/30/2025,09/30/2025,LYFT   *1 RIDE 09-28,Travel,Sale,-15.30,
09/29/2025,09/30/2025,City of Columbia  SC,Travel,Sale,-1.90,
09/29/2025,09/29/2025,Payment Thank You-Mobile,,Payment,690.45,
09/28/2025,09/29/2025,TST* THE SALTY NUT CAFE,Food & Drink,Sale,-18.00,
09/27/2025,09/29/2025,AMK UNIV S CAROLINA,Food & Drink,Sale,-16.05,
09/27/2025,09/28/2025,TST* JACK BROWN'S JOINT -,Food & Drink,Sale,-21.58,
09/27/2025,09/28/2025,PALMETTO ROADS #319,Gas,Sale,-2.45,
09/25/2025,09/26/2025,HIBACHI HOUSE,Food & Drink,Sale,-22.55,
09/24/2025,09/25/2025,LS GREENS BEVERAGES,Shopping,Sale,-45.55,
09/22/2025,09/24/2025,SHELL OIL 57545337008,Gas,Sale,-37.62,
09/24/2025,09/24/2025,AMIA.ORG,Gifts & Donations,Sale,-50.00,
09/23/2025,09/24/2025,City of Columbia  SC,Travel,Sale,-1.90,
09/23/2025,09/24/2025,SQ *CAROLINA BARBER SHOP,Personal,Sale,-32.50,
09/24/2025,09/24/2025,APPLE.COM/US,Shopping,Sale,-106.92,
09/19/2025,09/21/2025,TST*CRAZY WINGS - LINCOL,Food & Drink,Sale,-28.02,
09/17/2025,09/17/2025,SIE*PLAYSTATIONNETWORK,Shopping,Sale,-10.79,
09/16/2025,09/17/2025,PUBLIX #1095,Groceries,Sale,-171.37,
09/14/2025,09/15/2025,PUBLIX #1095,Groceries,Sale,-13.54,
09/14/2025,09/15/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-42.21,
09/13/2025,09/14/2025,MURPHY USA 8592,Gas,Sale,-6.87,
09/10/2025,09/11/2025,PUBLIX #1095,Groceries,Sale,-18.14,
09/08/2025,09/09/2025,CREEM.IO*AI VIDEO GENE,Shopping,Sale,-99.90,
09/07/2025,09/07/2025,ParkWhiz  Inc.,Travel,Sale,-5.00,
09/03/2025,09/03/2025,Payment Thank You-Mobile,,Payment,1723.70,
09/03/2025,09/03/2025,STATEMENT CREDIT,Fees & Adjustments,Adjustment,26.46,
08/31/2025,09/02/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-18.20,
09/01/2025,09/02/2025,LI DRUM BUS,Education,Sale,-0.50,
09/01/2025,09/02/2025,SUPABASE,Shopping,Sale,-34.62,
09/01/2025,09/02/2025,AMAZON MKTPL*MM85R7A63,Shopping,Sale,-37.78,
09/01/2025,09/01/2025,DIGITALOCEAN.COM,Shopping,Sale,-40.00,
08/31/2025,09/01/2025,TST*TOUCHDOWNS,Food & Drink,Sale,-37.70,
08/30/2025,09/01/2025,SHIVS CONVENIENCE,Groceries,Sale,-9.46,
08/31/2025,09/01/2025,TST*TOUCHDOWNS,Food & Drink,Sale,-18.50,
08/30/2025,08/31/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.60,
08/29/2025,08/31/2025,TEEQUEST,Entertainment,Sale,-200.00,
08/28/2025,08/28/2025,USC TUITION &amp; FEES,Education,Sale,-1088.20,
08/26/2025,08/27/2025,WAL-MART #1183,Groceries,Sale,-3.18,
08/24/2025,08/26/2025,QT 1178 OUTSIDE,Gas,Sale,-30.61,
08/24/2025,08/26/2025,GREENVILLE PARKING RIVER,Travel,Sale,-7.00,
08/24/2025,08/25/2025,TST* JACK BROWN'S JOINT -,Food & Drink,Sale,-26.03,
08/23/2025,08/25/2025,TST*LEWIS BARBECUE GREEN,Food & Drink,Sale,-12.64,
08/23/2025,08/25/2025,UNDERGROUND VAPE LLC,Shopping,Sale,-10.60,
08/23/2025,08/25/2025,TST*LEWIS BARBECUE GREEN,Food & Drink,Sale,-26.24,
08/23/2025,08/25/2025,CONNOLLYS IRISH PUB,Food & Drink,Sale,-16.48,
08/23/2025,08/24/2025,FSP*FURMAN UNIVERSITY,Health & Wellness,Sale,-55.88,
08/19/2025,08/19/2025,Payment Thank You-Mobile,,Payment,654.67,
08/18/2025,08/19/2025,SQ *2020 DIVINE,Food & Drink,Sale,-14.24,
08/18/2025,08/19/2025,SQ *2020 DIVINE,Food & Drink,Sale,-14.24,
08/17/2025,08/18/2025,PLAYSTATION NETWORK,Shopping,Sale,-10.79,
08/16/2025,08/18/2025,TARGET        00011999,Shopping,Sale,-5.34,
08/16/2025,08/17/2025,PLAYSTATION NETWORK,Shopping,Sale,-107.99,
08/16/2025,08/17/2025,WM SUPERCENTER #1164,Groceries,Sale,-480.43,
08/16/2025,08/17/2025,PLAYSTATION NETWORK,Shopping,Sale,-16.19,
08/15/2025,08/15/2025,Payment Thank You-Mobile,,Payment,363.98,
08/13/2025,08/15/2025,SHELL OIL 53918000422,Gas,Sale,-27.63,
08/13/2025,08/15/2025,TST*JAKES ON DEVINE,Food & Drink,Sale,-6.30,
08/13/2025,08/14/2025,University of South Carol,Travel,Sale,-4.50,
08/13/2025,08/14/2025,CTLP*PINTEC VENDING,Food & Drink,Sale,-4.70,
08/12/2025,08/13/2025,PUBLIX #1095,Groceries,Sale,-44.61,
08/11/2025,08/12/2025,TST*CRAZY WINGS - LINCOL,Food & Drink,Sale,-18.35,
08/11/2025,08/12/2025,CVS/PHARMACY #00830,Health & Wellness,Sale,-24.82,
08/10/2025,08/12/2025,JERSEY MIKES 7040,Food & Drink,Sale,-21.10,
08/08/2025,08/10/2025,CREEM.IO*AI VIDEO GENE,Shopping,Sale,-99.90,
08/07/2025,08/10/2025,CIRCLE K # 06777,Gas,Sale,-31.01,
08/07/2025,08/08/2025,MARATHON 244228,Gas,Sale,-35.16,
